Core, 0
Cumulative Cycles, 181829956           
Cumulative Instructions, 100000001           
Cumulative IPC, 0.54996
Periodic Cycles, 181829956           
Periodic Instructions, 100000001           
Periodic IPC, 0.54996

EXECUTION_TIME_count, 56821861250000
EXECUTION_TIME_total_count, 56821861250000

NODE_CYCLE_count,     181829956
NODE_CYCLE_total_count,     181829956

NODE_INST_COUNT_count,     100000001
NODE_INST_COUNT_total_count,     100000001

NODE_INST_COUNT_FETCHED_count,     100000001
NODE_INST_COUNT_FETCHED_total_count,     100000001

NODE_UOP_COUNT_count,     107400262
NODE_UOP_COUNT_total_count,     107400262

FULL_WINDOW_STALL_count,     158976614
FULL_WINDOW_STALL_pct,       87.431
FULL_WINDOW_STALL_total_count,     158976614
FULL_WINDOW_STALL_total_pct,       87.431

FULL_WINDOW_ROB_MEM_OP_count,      45575572
FULL_WINDOW_ROB_MEM_OP_pct,       28.668
FULL_WINDOW_ROB_MEM_OP_total_count,      45575572
FULL_WINDOW_ROB_MEM_OP_total_pct,       28.668

FULL_WINDOW_ROB_FP_OP_count,             0
FULL_WINDOW_ROB_FP_OP_pct,        0.000
FULL_WINDOW_ROB_FP_OP_total_count,             0
FULL_WINDOW_ROB_FP_OP_total_pct,        0.000

FULL_WINDOW_ROB_OTHER_OP_count,             0
FULL_WINDOW_ROB_OTHER_OP_pct,        0.000
FULL_WINDOW_ROB_OTHER_OP_total_count,             0
FULL_WINDOW_ROB_OTHER_OP_total_pct,        0.000

FULL_WINDOW_LQ_FULL_count,             0
FULL_WINDOW_LQ_FULL_pct,        0.000
FULL_WINDOW_LQ_FULL_total_count,             0
FULL_WINDOW_LQ_FULL_total_pct,        0.000

FULL_WINDOW_SQ_FULL_count,     102722369
FULL_WINDOW_SQ_FULL_pct,       64.615
FULL_WINDOW_SQ_FULL_total_count,     102722369
FULL_WINDOW_SQ_FULL_total_pct,       64.615

FULL_WINDOW_WAITING_ON_RET_count,      10678673
FULL_WINDOW_WAITING_ON_RET_pct,        6.717
FULL_WINDOW_WAITING_ON_RET_total_count,      10678673
FULL_WINDOW_WAITING_ON_RET_total_pct,        6.717
FULL_WINDOW_WAITING_ON_RET_sum_count,     158976614
FULL_WINDOW_WAITING_ON_RET_sum_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_sum_total_count,     158976614
FULL_WINDOW_WAITING_ON_RET_sum_total_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_mean,         2.92
FULL_WINDOW_WAITING_ON_RET_stddev,         1.27
FULL_WINDOW_WAITING_ON_RET_total_mean,         2.92
FULL_WINDOW_WAITING_ON_RET_total_stddev,         1.27

FULL_WINDOW_MEM_OP_count,             0
FULL_WINDOW_MEM_OP_pct,         -nan
FULL_WINDOW_MEM_OP_total_count,             0
FULL_WINDOW_MEM_OP_total_pct,         -nan

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,         -nan
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,         -nan

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,         -nan
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_count,             0
FULL_WINDOW_OTHER_OP_sum_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_total_count,             0
FULL_WINDOW_OTHER_OP_sum_total_pct,         -nan
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         -nan
FULL_WINDOW_OTHER_OP_total_stddev,         -nan

RET_BLOCKED_DC_MISS_count,         18028
RET_BLOCKED_DC_MISS_pct,        0.010
RET_BLOCKED_DC_MISS_total_count,         18028
RET_BLOCKED_DC_MISS_total_pct,        0.010

RET_BLOCKED_L1_MISS_count,        400451
RET_BLOCKED_L1_MISS_pct,        0.220
RET_BLOCKED_L1_MISS_total_count,        400451
RET_BLOCKED_L1_MISS_total_pct,        0.220

RET_BLOCKED_L1_MISS_BW_PREF_count,        371024
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.204
RET_BLOCKED_L1_MISS_BW_PREF_total_count,        371024
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.204

RET_BLOCKED_L1_ACCESS_count,          1425
RET_BLOCKED_L1_ACCESS_pct,        0.001
RET_BLOCKED_L1_ACCESS_total_count,          1425
RET_BLOCKED_L1_ACCESS_total_pct,        0.001

RET_BLOCKED_MEM_STALL_count,     139674030
RET_BLOCKED_MEM_STALL_pct,       76.816
RET_BLOCKED_MEM_STALL_total_count,     139674030
RET_BLOCKED_MEM_STALL_total_pct,       76.816

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,     107401440
OP_ISSUED_total_count,     107401440

OP_RETIRED_count,     107400262
OP_RETIRED_total_count,     107400262

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,            54
LD_NO_DEPENDENTS_pct,        0.000
LD_NO_DEPENDENTS_total_count,            54
LD_NO_DEPENDENTS_total_pct,        0.000

LD_DEPENDENTS_count,      15433332
LD_DEPENDENTS_pct,      100.000
LD_DEPENDENTS_total_count,      15433332
LD_DEPENDENTS_total_pct,      100.000
LD_DEPENDENTS_sum_count,      15433386
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,      15433386
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         1.00
LD_DEPENDENTS_stddev,         1.00
LD_DEPENDENTS_total_mean,         1.00
LD_DEPENDENTS_total_stddev,         1.00

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,         -nan
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,         -nan

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,         -nan
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,         -nan

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,         -nan
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,         -nan

LD_EXEC_CYCLES_3_count,             0
LD_EXEC_CYCLES_3_pct,         -nan
LD_EXEC_CYCLES_3_total_count,             0
LD_EXEC_CYCLES_3_total_pct,         -nan

LD_EXEC_CYCLES_4_count,             0
LD_EXEC_CYCLES_4_pct,         -nan
LD_EXEC_CYCLES_4_total_count,             0
LD_EXEC_CYCLES_4_total_pct,         -nan
LD_EXEC_CYCLES_4_sum_count,             0
LD_EXEC_CYCLES_4_sum_pct,         -nan
LD_EXEC_CYCLES_4_sum_total_count,             0
LD_EXEC_CYCLES_4_sum_total_pct,         -nan
LD_EXEC_CYCLES_4_mean,         -nan
LD_EXEC_CYCLES_4_stddev,         -nan
LD_EXEC_CYCLES_4_total_mean,         -nan
LD_EXEC_CYCLES_4_total_stddev,         -nan

ICACHE_STAGE_STARVED_count,         22461
ICACHE_STAGE_STARVED_pct,        0.098
ICACHE_STAGE_STARVED_total_count,         22461
ICACHE_STAGE_STARVED_total_pct,        0.098

ICACHE_STAGE_NOT_STARVED_count,      22833478
ICACHE_STAGE_NOT_STARVED_pct,       99.902
ICACHE_STAGE_NOT_STARVED_total_count,      22833478
ICACHE_STAGE_NOT_STARVED_total_pct,       99.902
ICACHE_STAGE_NOT_STARVED_sum_count,      22855939
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,      22855939
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,     158972567
ICACHE_STAGE_STALLED_pct,       87.429
ICACHE_STAGE_STALLED_total_count,     158972567
ICACHE_STAGE_STALLED_total_pct,       87.429

ICACHE_STAGE_NOT_STALLED_count,      22852697
ICACHE_STAGE_NOT_STALLED_pct,       12.568
ICACHE_STAGE_NOT_STALLED_total_count,      22852697
ICACHE_STAGE_NOT_STALLED_total_pct,       12.568

ICACHE_STAGE_OFF_PATH_count,          4692
ICACHE_STAGE_OFF_PATH_pct,        0.003
ICACHE_STAGE_OFF_PATH_total_count,          4692
ICACHE_STAGE_OFF_PATH_total_pct,        0.003
ICACHE_STAGE_OFF_PATH_sum_count,     181829956
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,     181829956
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         0.13
ICACHE_STAGE_OFF_PATH_stddev,         0.31
ICACHE_STAGE_OFF_PATH_total_mean,         0.13
ICACHE_STAGE_OFF_PATH_total_stddev,         0.31

DECODE_STAGE_STARVED_count,     181826647
DECODE_STAGE_STARVED_pct,      100.000
DECODE_STAGE_STARVED_total_count,     181826647
DECODE_STAGE_STARVED_total_pct,      100.000

DECODE_STAGE_NOT_STARVED_count,           114
DECODE_STAGE_NOT_STARVED_pct,        0.000
DECODE_STAGE_NOT_STARVED_total_count,           114
DECODE_STAGE_NOT_STARVED_total_pct,        0.000
DECODE_STAGE_NOT_STARVED_sum_count,     181826761
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,     181826761
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.00
DECODE_STAGE_NOT_STARVED_stddev,         0.00
DECODE_STAGE_NOT_STARVED_total_mean,         0.00
DECODE_STAGE_NOT_STARVED_total_stddev,         0.00

DECODE_STAGE_STALLED_count,             0
DECODE_STAGE_STALLED_pct,        0.000
DECODE_STAGE_STALLED_total_count,             0
DECODE_STAGE_STALLED_total_pct,        0.000

DECODE_STAGE_NOT_STALLED_count,     181826761
DECODE_STAGE_NOT_STALLED_pct,       99.998
DECODE_STAGE_NOT_STALLED_total_count,     181826761
DECODE_STAGE_NOT_STALLED_total_pct,       99.998

DECODE_STAGE_OFF_PATH_count,          3195
DECODE_STAGE_OFF_PATH_pct,        0.002
DECODE_STAGE_OFF_PATH_total_count,          3195
DECODE_STAGE_OFF_PATH_total_pct,        0.002
DECODE_STAGE_OFF_PATH_sum_count,     181829956
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,     181829956
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         1.00
DECODE_STAGE_OFF_PATH_stddev,         0.01
DECODE_STAGE_OFF_PATH_total_mean,         1.00
DECODE_STAGE_OFF_PATH_total_stddev,         0.01

UOPQ_STAGE_STARVED_count,         21654
UOPQ_STAGE_STARVED_pct,        0.095
UOPQ_STAGE_STARVED_total_count,         21654
UOPQ_STAGE_STARVED_total_pct,        0.095

UOPQ_STAGE_NOT_STARVED_count,      22833056
UOPQ_STAGE_NOT_STARVED_pct,       99.905
UOPQ_STAGE_NOT_STARVED_total_count,      22833056
UOPQ_STAGE_NOT_STARVED_total_pct,       99.905
UOPQ_STAGE_NOT_STARVED_sum_count,      22854710
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,      22854710
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
UOPQ_STAGE_NOT_STARVED_mean,         1.00
UOPQ_STAGE_NOT_STARVED_stddev,         1.00
UOPQ_STAGE_NOT_STARVED_total_mean,         1.00
UOPQ_STAGE_NOT_STARVED_total_stddev,         1.00

UOPQ_STAGE_STALLED_count,     158973152
UOPQ_STAGE_STALLED_pct,       87.430
UOPQ_STAGE_STALLED_total_count,     158973152
UOPQ_STAGE_STALLED_total_pct,       87.430

UOPQ_STAGE_NOT_STALLED_count,      22854710
UOPQ_STAGE_NOT_STALLED_pct,       12.569
UOPQ_STAGE_NOT_STALLED_total_count,      22854710
UOPQ_STAGE_NOT_STALLED_total_pct,       12.569

UOPQ_STAGE_OFF_PATH_count,          2094
UOPQ_STAGE_OFF_PATH_pct,        0.001
UOPQ_STAGE_OFF_PATH_total_count,          2094
UOPQ_STAGE_OFF_PATH_total_pct,        0.001
UOPQ_STAGE_OFF_PATH_sum_count,     181829956
UOPQ_STAGE_OFF_PATH_sum_pct,      100.000
UOPQ_STAGE_OFF_PATH_sum_total_count,     181829956
UOPQ_STAGE_OFF_PATH_sum_total_pct,      100.000
UOPQ_STAGE_OFF_PATH_mean,         0.13
UOPQ_STAGE_OFF_PATH_stddev,         0.31
UOPQ_STAGE_OFF_PATH_total_mean,         0.13
UOPQ_STAGE_OFF_PATH_total_stddev,         0.31

MAP_STAGE_STARVED_count,         19305
MAP_STAGE_STARVED_pct,        0.011
MAP_STAGE_STARVED_total_count,         19305
MAP_STAGE_STARVED_total_pct,        0.011

MAP_STAGE_NOT_STARVED_count,     181807524
MAP_STAGE_NOT_STARVED_pct,       99.989
MAP_STAGE_NOT_STARVED_total_count,     181807524
MAP_STAGE_NOT_STARVED_total_pct,       99.989
MAP_STAGE_NOT_STARVED_sum_count,     181826829
MAP_STAGE_NOT_STARVED_sum_pct,      100.000
MAP_STAGE_NOT_STARVED_sum_total_count,     181826829
MAP_STAGE_NOT_STARVED_sum_total_pct,      100.000
MAP_STAGE_NOT_STARVED_mean,         1.00
MAP_STAGE_NOT_STARVED_stddev,         1.00
MAP_STAGE_NOT_STARVED_total_mean,         1.00
MAP_STAGE_NOT_STARVED_total_stddev,         1.00

MAP_STAGE_STALLED_count,     158974424
MAP_STAGE_STALLED_pct,       87.430
MAP_STAGE_STALLED_total_count,     158974424
MAP_STAGE_STALLED_total_pct,       87.430

MAP_STAGE_NOT_STALLED_count,      22852405
MAP_STAGE_NOT_STALLED_pct,       12.568
MAP_STAGE_NOT_STALLED_total_count,      22852405
MAP_STAGE_NOT_STALLED_total_pct,       12.568

MAP_STAGE_OFF_PATH_count,          3127
MAP_STAGE_OFF_PATH_pct,        0.002
MAP_STAGE_OFF_PATH_total_count,          3127
MAP_STAGE_OFF_PATH_total_pct,        0.002
MAP_STAGE_OFF_PATH_sum_count,     181829956
MAP_STAGE_OFF_PATH_sum_pct,      100.000
MAP_STAGE_OFF_PATH_sum_total_count,     181829956
MAP_STAGE_OFF_PATH_sum_total_pct,      100.000
MAP_STAGE_OFF_PATH_mean,         0.13
MAP_STAGE_OFF_PATH_stddev,         0.31
MAP_STAGE_OFF_PATH_total_mean,         0.13
MAP_STAGE_OFF_PATH_total_stddev,         0.31

EXEC_STAGE_STARVED_count,         15595
EXEC_STAGE_STARVED_pct,        0.009
EXEC_STAGE_STARVED_total_count,         15595
EXEC_STAGE_STARVED_total_pct,        0.009

EXEC_STAGE_NOT_STARVED_count,     181812540
EXEC_STAGE_NOT_STARVED_pct,       99.990
EXEC_STAGE_NOT_STARVED_total_count,     181812540
EXEC_STAGE_NOT_STARVED_total_pct,       99.990

EXEC_STAGE_OFF_PATH_count,          1821
EXEC_STAGE_OFF_PATH_pct,        0.001
EXEC_STAGE_OFF_PATH_total_count,          1821
EXEC_STAGE_OFF_PATH_total_pct,        0.001
EXEC_STAGE_OFF_PATH_sum_count,     181829956
EXEC_STAGE_OFF_PATH_sum_pct,      100.000
EXEC_STAGE_OFF_PATH_sum_total_count,     181829956
EXEC_STAGE_OFF_PATH_sum_total_pct,      100.000
EXEC_STAGE_OFF_PATH_mean,         1.00
EXEC_STAGE_OFF_PATH_stddev,         0.00
EXEC_STAGE_OFF_PATH_total_mean,         1.00
EXEC_STAGE_OFF_PATH_total_stddev,         0.00

FU_BUSY_0_count,      38221140
FU_BUSY_0_total_count,      38221140

FU_BUSY_1_count,      12426100
FU_BUSY_1_total_count,      12426100

FU_BUSY_2_count,      10721890
FU_BUSY_2_total_count,      10721890

FU_BUSY_3_count,       4719873
FU_BUSY_3_total_count,       4719873

FU_BUSY_4_count,       4572518
FU_BUSY_4_total_count,       4572518

FU_BUSY_5_count,      13282515
FU_BUSY_5_total_count,      13282515

FU_BUSY_6_count,     181811437
FU_BUSY_6_total_count,     181811437

FU_BUSY_7_count,     181811209
FU_BUSY_7_total_count,     181811209

FU_BUSY_8_count,             0
FU_BUSY_8_total_count,             0

FU_BUSY_9_count,             0
FU_BUSY_9_total_count,             0

FU_BUSY_10_count,             0
FU_BUSY_10_total_count,             0

FU_BUSY_11_count,             0
FU_BUSY_11_total_count,             0

FU_BUSY_12_count,             0
FU_BUSY_12_total_count,             0

FU_BUSY_13_count,             0
FU_BUSY_13_total_count,             0

FU_BUSY_14_count,             0
FU_BUSY_14_total_count,             0

FU_BUSY_15_count,             0
FU_BUSY_15_total_count,             0

FU_BUSY_16_count,             0
FU_BUSY_16_total_count,             0

FU_BUSY_17_count,             0
FU_BUSY_17_total_count,             0

FU_BUSY_18_count,             0
FU_BUSY_18_total_count,             0

FU_BUSY_19_count,             0
FU_BUSY_19_total_count,             0

FU_BUSY_20_count,             0
FU_BUSY_20_total_count,             0

FU_BUSY_21_count,             0
FU_BUSY_21_total_count,             0

FU_BUSY_22_count,             0
FU_BUSY_22_total_count,             0

FU_BUSY_23_count,             0
FU_BUSY_23_total_count,             0

FU_BUSY_24_count,             0
FU_BUSY_24_total_count,             0

FU_BUSY_25_count,             0
FU_BUSY_25_total_count,             0

FU_BUSY_26_count,             0
FU_BUSY_26_total_count,             0

FU_BUSY_27_count,             0
FU_BUSY_27_total_count,             0

FU_BUSY_28_count,             0
FU_BUSY_28_total_count,             0

FU_BUSY_29_count,             0
FU_BUSY_29_total_count,             0

FU_BUSY_30_count,             0
FU_BUSY_30_total_count,             0

FU_BUSY_31_count,             0
FU_BUSY_31_total_count,             0

FU_REJECTED_OP_INV_NOT_SIMD_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_INV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_NOP_NOT_SIMD_count,            17
FU_REJECTED_OP_NOP_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_NOP_NOT_SIMD_total_count,            17
FU_REJECTED_OP_NOP_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_CF_NOT_SIMD_count,             0
FU_REJECTED_OP_CF_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_CF_NOT_SIMD_total_count,             0
FU_REJECTED_OP_CF_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_MOV_NOT_SIMD_count,            60
FU_REJECTED_OP_MOV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_MOV_NOT_SIMD_total_count,            60
FU_REJECTED_OP_MOV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_CMOV_NOT_SIMD_count,             0
FU_REJECTED_OP_CMOV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_CMOV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_CMOV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_LDA_NOT_SIMD_count,            34
FU_REJECTED_OP_LDA_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_LDA_NOT_SIMD_total_count,            34
FU_REJECTED_OP_LDA_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_IMEM_NOT_SIMD_count,          2423
FU_REJECTED_OP_IMEM_NOT_SIMD_pct,        0.001
FU_REJECTED_OP_IMEM_NOT_SIMD_total_count,          2423
FU_REJECTED_OP_IMEM_NOT_SIMD_total_pct,        0.001

FU_REJECTED_OP_IADD_NOT_SIMD_count,          3439
FU_REJECTED_OP_IADD_NOT_SIMD_pct,        0.001
FU_REJECTED_OP_IADD_NOT_SIMD_total_count,          3439
FU_REJECTED_OP_IADD_NOT_SIMD_total_pct,        0.001

FU_REJECTED_OP_IMUL_NOT_SIMD_count,            24
FU_REJECTED_OP_IMUL_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_IMUL_NOT_SIMD_total_count,            24
FU_REJECTED_OP_IMUL_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_IDIV_NOT_SIMD_count,             0
FU_REJECTED_OP_IDIV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_IDIV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_IDIV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_ICMP_NOT_SIMD_count,             0
FU_REJECTED_OP_ICMP_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_ICMP_NOT_SIMD_total_count,             0
FU_REJECTED_OP_ICMP_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_LOGIC_NOT_SIMD_count,            10
FU_REJECTED_OP_LOGIC_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_LOGIC_NOT_SIMD_total_count,            10
FU_REJECTED_OP_LOGIC_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_SHIFT_NOT_SIMD_count,             0
FU_REJECTED_OP_SHIFT_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_SHIFT_NOT_SIMD_total_count,             0
FU_REJECTED_OP_SHIFT_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FMEM_NOT_SIMD_count,             0
FU_REJECTED_OP_FMEM_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FMEM_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FMEM_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FCVT_NOT_SIMD_count,             0
FU_REJECTED_OP_FCVT_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FCVT_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FCVT_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FADD_NOT_SIMD_count,             0
FU_REJECTED_OP_FADD_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FADD_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FADD_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FMUL_NOT_SIMD_count,             0
FU_REJECTED_OP_FMUL_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FMUL_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FMUL_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FMA_NOT_SIMD_count,             0
FU_REJECTED_OP_FMA_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FMA_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FMA_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FDIV_NOT_SIMD_count,             0
