Core, 0
Cumulative Cycles, 308335300           
Cumulative Instructions, 100000003           
Cumulative IPC, 0.32432
Periodic Cycles, 308335300           
Periodic Instructions, 100000003           
Periodic IPC, 0.32432

EXECUTION_TIME_count, 96354781250000
EXECUTION_TIME_total_count, 96354781250000

NODE_CYCLE_count,     308335300
NODE_CYCLE_total_count,     308335300

NODE_INST_COUNT_count,     100000003
NODE_INST_COUNT_total_count,     100000003

NODE_INST_COUNT_FETCHED_count,     100000003
NODE_INST_COUNT_FETCHED_total_count,     100000003

NODE_UOP_COUNT_count,     105266598
NODE_UOP_COUNT_total_count,     105266598

FULL_WINDOW_STALL_count,     248002479
FULL_WINDOW_STALL_pct,       80.433
FULL_WINDOW_STALL_total_count,     248002479
FULL_WINDOW_STALL_total_pct,       80.433

FULL_WINDOW_ROB_MEM_OP_count,     240174596
FULL_WINDOW_ROB_MEM_OP_pct,       96.844
FULL_WINDOW_ROB_MEM_OP_total_count,     240174596
FULL_WINDOW_ROB_MEM_OP_total_pct,       96.844

FULL_WINDOW_ROB_FP_OP_count,             0
FULL_WINDOW_ROB_FP_OP_pct,        0.000
FULL_WINDOW_ROB_FP_OP_total_count,             0
FULL_WINDOW_ROB_FP_OP_total_pct,        0.000

FULL_WINDOW_ROB_OTHER_OP_count,        104553
FULL_WINDOW_ROB_OTHER_OP_pct,        0.042
FULL_WINDOW_ROB_OTHER_OP_total_count,        104553
FULL_WINDOW_ROB_OTHER_OP_total_pct,        0.042

FULL_WINDOW_LQ_FULL_count,             0
FULL_WINDOW_LQ_FULL_pct,        0.000
FULL_WINDOW_LQ_FULL_total_count,             0
FULL_WINDOW_LQ_FULL_total_pct,        0.000

FULL_WINDOW_SQ_FULL_count,             0
FULL_WINDOW_SQ_FULL_pct,        0.000
FULL_WINDOW_SQ_FULL_total_count,             0
FULL_WINDOW_SQ_FULL_total_pct,        0.000

FULL_WINDOW_WAITING_ON_RET_count,       7723330
FULL_WINDOW_WAITING_ON_RET_pct,        3.114
FULL_WINDOW_WAITING_ON_RET_total_count,       7723330
FULL_WINDOW_WAITING_ON_RET_total_pct,        3.114
FULL_WINDOW_WAITING_ON_RET_sum_count,     248002479
FULL_WINDOW_WAITING_ON_RET_sum_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_sum_total_count,     248002479
FULL_WINDOW_WAITING_ON_RET_sum_total_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_mean,         0.16
FULL_WINDOW_WAITING_ON_RET_stddev,         0.86
FULL_WINDOW_WAITING_ON_RET_total_mean,         0.16
FULL_WINDOW_WAITING_ON_RET_total_stddev,         0.86

FULL_WINDOW_MEM_OP_count,             0
FULL_WINDOW_MEM_OP_pct,         -nan
FULL_WINDOW_MEM_OP_total_count,             0
FULL_WINDOW_MEM_OP_total_pct,         -nan

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,         -nan
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,         -nan

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,         -nan
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_count,             0
FULL_WINDOW_OTHER_OP_sum_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_total_count,             0
FULL_WINDOW_OTHER_OP_sum_total_pct,         -nan
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         -nan
FULL_WINDOW_OTHER_OP_total_stddev,         -nan

RET_BLOCKED_DC_MISS_count,     281657974
RET_BLOCKED_DC_MISS_pct,       91.348
RET_BLOCKED_DC_MISS_total_count,     281657974
RET_BLOCKED_DC_MISS_total_pct,       91.348

RET_BLOCKED_L1_MISS_count,     245064085
RET_BLOCKED_L1_MISS_pct,       79.480
RET_BLOCKED_L1_MISS_total_count,     245064085
RET_BLOCKED_L1_MISS_total_pct,       79.480

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,      36594004
RET_BLOCKED_L1_ACCESS_pct,       11.868
RET_BLOCKED_L1_ACCESS_total_count,      36594004
RET_BLOCKED_L1_ACCESS_total_pct,       11.868

RET_BLOCKED_MEM_STALL_count,     245064085
RET_BLOCKED_MEM_STALL_pct,       79.480
RET_BLOCKED_MEM_STALL_total_count,     245064085
RET_BLOCKED_MEM_STALL_total_pct,       79.480

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,     249578724
OP_ISSUED_total_count,     249578724

OP_RETIRED_count,     105266598
OP_RETIRED_total_count,     105266598

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,             3
LD_NO_DEPENDENTS_pct,        0.000
LD_NO_DEPENDENTS_total_count,             3
LD_NO_DEPENDENTS_total_pct,        0.000

LD_DEPENDENTS_count,      24565385
LD_DEPENDENTS_pct,      100.000
LD_DEPENDENTS_total_count,      24565385
LD_DEPENDENTS_total_pct,      100.000
LD_DEPENDENTS_sum_count,      24565388
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,      24565388
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         1.00
LD_DEPENDENTS_stddev,         1.00
LD_DEPENDENTS_total_mean,         1.00
LD_DEPENDENTS_total_stddev,         1.00

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,          3384
LD_EXEC_CYCLES_3_pct,       34.630
LD_EXEC_CYCLES_3_total_count,          3384
LD_EXEC_CYCLES_3_total_pct,       34.630

LD_EXEC_CYCLES_4_count,          6388
LD_EXEC_CYCLES_4_pct,       65.370
LD_EXEC_CYCLES_4_total_count,          6388
LD_EXEC_CYCLES_4_total_pct,       65.370
LD_EXEC_CYCLES_4_sum_count,          9772
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,          9772
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.65
LD_EXEC_CYCLES_4_stddev,         2.99
LD_EXEC_CYCLES_4_total_mean,         3.65
LD_EXEC_CYCLES_4_total_stddev,         2.99

ICACHE_STAGE_STARVED_count,          3603
ICACHE_STAGE_STARVED_pct,        0.016
ICACHE_STAGE_STARVED_total_count,          3603
