Core, 0
Cumulative Cycles, 155250194           
Cumulative Instructions, 100000000           
Cumulative IPC, 0.64412
Periodic Cycles, 155250194           
Periodic Instructions, 100000000           
Periodic IPC, 0.64412

EXECUTION_TIME_count, 48515685625000
EXECUTION_TIME_total_count, 48515685625000

NODE_CYCLE_count,     155250194
NODE_CYCLE_total_count,     155250194

NODE_INST_COUNT_count,     100000000
NODE_INST_COUNT_total_count,     100000000

NODE_INST_COUNT_FETCHED_count,     100000000
NODE_INST_COUNT_FETCHED_total_count,     100000000

NODE_UOP_COUNT_count,     108556150
NODE_UOP_COUNT_total_count,     108556150

FULL_WINDOW_STALL_count,     129581026
FULL_WINDOW_STALL_pct,       83.466
FULL_WINDOW_STALL_total_count,     129581026
FULL_WINDOW_STALL_total_pct,       83.466

FULL_WINDOW_ROB_MEM_OP_count,      33734464
FULL_WINDOW_ROB_MEM_OP_pct,       26.033
FULL_WINDOW_ROB_MEM_OP_total_count,      33734464
FULL_WINDOW_ROB_MEM_OP_total_pct,       26.033

FULL_WINDOW_ROB_FP_OP_count,      72972166
FULL_WINDOW_ROB_FP_OP_pct,       56.314
FULL_WINDOW_ROB_FP_OP_total_count,      72972166
FULL_WINDOW_ROB_FP_OP_total_pct,       56.314

FULL_WINDOW_ROB_OTHER_OP_count,        417136
FULL_WINDOW_ROB_OTHER_OP_pct,        0.322
FULL_WINDOW_ROB_OTHER_OP_total_count,        417136
FULL_WINDOW_ROB_OTHER_OP_total_pct,        0.322

FULL_WINDOW_LQ_FULL_count,             0
FULL_WINDOW_LQ_FULL_pct,        0.000
FULL_WINDOW_LQ_FULL_total_count,             0
FULL_WINDOW_LQ_FULL_total_pct,        0.000

FULL_WINDOW_SQ_FULL_count,             0
FULL_WINDOW_SQ_FULL_pct,        0.000
FULL_WINDOW_SQ_FULL_total_count,             0
FULL_WINDOW_SQ_FULL_total_pct,        0.000

FULL_WINDOW_WAITING_ON_RET_count,      22457260
FULL_WINDOW_WAITING_ON_RET_pct,       17.331
