Core, 0
Cumulative Cycles, 32107906            
Cumulative Instructions, 100000000           
Cumulative IPC, 3.11450
Periodic Cycles, 32107906            
Periodic Instructions, 100000000           
Periodic IPC, 3.11450

EXECUTION_TIME_count, 10033720625000
EXECUTION_TIME_total_count, 10033720625000

NODE_CYCLE_count,      32107906
NODE_CYCLE_total_count,      32107906

NODE_INST_COUNT_count,     100000000
NODE_INST_COUNT_total_count,     100000000

NODE_INST_COUNT_FETCHED_count,     100000000
NODE_INST_COUNT_FETCHED_total_count,     100000000

NODE_UOP_COUNT_count,     128036328
NODE_UOP_COUNT_total_count,     128036328

FULL_WINDOW_STALL_count,         27301
FULL_WINDOW_STALL_pct,        0.085
FULL_WINDOW_STALL_total_count,         27301
FULL_WINDOW_STALL_total_pct,        0.085

FULL_WINDOW_ROB_MEM_OP_count,         25901
FULL_WINDOW_ROB_MEM_OP_pct,       94.872
FULL_WINDOW_ROB_MEM_OP_total_count,         25901
FULL_WINDOW_ROB_MEM_OP_total_pct,       94.872

FULL_WINDOW_ROB_FP_OP_count,             0
FULL_WINDOW_ROB_FP_OP_pct,        0.000
FULL_WINDOW_ROB_FP_OP_total_count,             0
FULL_WINDOW_ROB_FP_OP_total_pct,        0.000

FULL_WINDOW_ROB_OTHER_OP_count,             5
FULL_WINDOW_ROB_OTHER_OP_pct,        0.018
FULL_WINDOW_ROB_OTHER_OP_total_count,             5
FULL_WINDOW_ROB_OTHER_OP_total_pct,        0.018

FULL_WINDOW_LQ_FULL_count,             0
FULL_WINDOW_LQ_FULL_pct,        0.000
FULL_WINDOW_LQ_FULL_total_count,             0
FULL_WINDOW_LQ_FULL_total_pct,        0.000

FULL_WINDOW_SQ_FULL_count,           252
FULL_WINDOW_SQ_FULL_pct,        0.923
FULL_WINDOW_SQ_FULL_total_count,           252
FULL_WINDOW_SQ_FULL_total_pct,        0.923

FULL_WINDOW_WAITING_ON_RET_count,          1143
FULL_WINDOW_WAITING_ON_RET_pct,        4.187
FULL_WINDOW_WAITING_ON_RET_total_count,          1143
FULL_WINDOW_WAITING_ON_RET_total_pct,        4.187
FULL_WINDOW_WAITING_ON_RET_sum_count,         27301
FULL_WINDOW_WAITING_ON_RET_sum_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_sum_total_count,         27301
FULL_WINDOW_WAITING_ON_RET_sum_total_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_mean,         0.25
FULL_WINDOW_WAITING_ON_RET_stddev,         1.04
FULL_WINDOW_WAITING_ON_RET_total_mean,         0.25
FULL_WINDOW_WAITING_ON_RET_total_stddev,         1.04

FULL_WINDOW_MEM_OP_count,             0
FULL_WINDOW_MEM_OP_pct,         -nan
FULL_WINDOW_MEM_OP_total_count,             0
FULL_WINDOW_MEM_OP_total_pct,         -nan

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,         -nan
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,         -nan

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,         -nan
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_count,             0
FULL_WINDOW_OTHER_OP_sum_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_total_count,             0
FULL_WINDOW_OTHER_OP_sum_total_pct,         -nan
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         -nan
FULL_WINDOW_OTHER_OP_total_stddev,         -nan

RET_BLOCKED_DC_MISS_count,         46716
RET_BLOCKED_DC_MISS_pct,        0.145
RET_BLOCKED_DC_MISS_total_count,         46716
RET_BLOCKED_DC_MISS_total_pct,        0.145

RET_BLOCKED_L1_MISS_count,         31839
RET_BLOCKED_L1_MISS_pct,        0.099
RET_BLOCKED_L1_MISS_total_count,         31839
RET_BLOCKED_L1_MISS_total_pct,        0.099

RET_BLOCKED_L1_MISS_BW_PREF_count,           816
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.003
RET_BLOCKED_L1_MISS_BW_PREF_total_count,           816
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.003

RET_BLOCKED_L1_ACCESS_count,         14914
RET_BLOCKED_L1_ACCESS_pct,        0.046
RET_BLOCKED_L1_ACCESS_total_count,         14914
RET_BLOCKED_L1_ACCESS_total_pct,        0.046

RET_BLOCKED_MEM_STALL_count,         31839
RET_BLOCKED_MEM_STALL_pct,        0.099
RET_BLOCKED_MEM_STALL_total_count,         31839
RET_BLOCKED_MEM_STALL_total_pct,        0.099

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,     137667493
OP_ISSUED_total_count,     137667493

OP_RETIRED_count,     128036328
