cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7f585b55dc0c,7f585b5595c8,0,403,0,0,0,0,0,1,0,0,2
3,7f585b55dc01,7f585b56f610,0,403,0,0,0,0,0,1,0,0,2
2,7f585b555492,7f585b5554a0,0,535,0,1,0,0,0,1,0,0,4
2,7f585b5554aa,0,1,534,0,0,0,0,0,0,0,0,0
3,7f585b5554a2,7f585b554700,0,535,0,0,0,0,0,1,0,0,2
4,7f585b554557,7f585b554584,1707,8357,0,0,414,1028,0,1,0,0,2058
7,7f585b554569,7f585b55457c,840,1000,0,0,0,0,0,0,0,0,0
3,7f585b55559f,7f585bacd070,10136,4412,0,0,0,0,0,1,0,0,2
2,7f585b5555dd,0,152,1064,0,0,0,0,0,0,0,0,0
2,7f585b5555d1,0,152,1064,0,0,0,0,0,0,0,0,0
7,7f585b554590,7f585b57c52c,2222,5376,0,0,0,0,0,0,0,0,0
2,7f585b5555d7,0,152,1064,0,0,0,0,0,0,0,0,0
3,7f585b555594,7f585bacd070,10136,4412,0,0,0,0,0,1,0,0,2
2,7f585b5555cb,0,152,1064,0,0,0,0,0,0,0,0,0
7,7f5863c74db0,7f585b471373,613,5064,0,0,0,0,0,0,0,0,0
2,7f585b5555c5,0,152,1064,0,0,0,0,0,0,0,0,0
2,7f585b5555b9,0,112,1104,0,0,0,0,0,0,0,0,0
2,7f585b5555bf,0,152,1064,0,0,0,0,0,0,0,0,0
2,7f585b5555eb,7f585b555610,66,1150,0,0,0,0,0,42,0,0,84
2,7f585b5555ae,7f585b555600,1924,12624,0,9,0,0,0,1,0,0,20
2,7f585b5555e3,0,152,1064,0,0,0,0,0,0,0,0,0
7,7f5863c74dda,7f585b471373,184,1143,0,0,0,0,0,0,0,0,0
2,7f585b55561e,0,66,1150,0,0,0,0,0,0,0,0,0
2,7f585b555653,0,132,1084,0,0,0,0,0,1,0,0,2
3,7f585b555617,7f585b877250,104,1112,0,0,0,0,0,33,0,0,66
2,7f585b55564d,0,132,1084,0,0,0,0,0,0,0,0,0
